"nom";"fichier";"est_diagramme";"est_preview";"chemin_source";"chemin_destination"
"trace";"trace.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\trace.png";"icons-study/07-icones-sources/sysml1/trace.png"
"traceability";"traceability.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\traceability.png";"icons-study/07-icones-sources/sysml1/traceability.png"
"umlcomposition";"umlcomposition.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\umlcomposition.png";"icons-study/07-icones-sources/sysml1/umlcomposition.png"
"unit";"unit.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\unit.png";"icons-study/07-icones-sources/sysml1/unit.png"
"unit48";"unit48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\unit48.png";"icons-study/07-icones-sources/sysml1/unit48.png"
"usage";"usage.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\usage.png";"icons-study/07-icones-sources/sysml1/usage.png"
"usecase";"usecase.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\usecase.png";"icons-study/07-icones-sources/sysml1/usecase.png"
"valuetype";"valuetype.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\valuetype.png";"icons-study/07-icones-sources/sysml1/valuetype.png"
"valuetype48";"valuetype48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\valuetype48.png";"icons-study/07-icones-sources/sysml1/valuetype48.png"
"view";"view.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\view.png";"icons-study/07-icones-sources/sysml1/view.png"
"view48";"view48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\view48.png";"icons-study/07-icones-sources/sysml1/view48.png"
"viewpoint";"viewpoint.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\viewpoint.png";"icons-study/07-icones-sources/sysml1/viewpoint.png"
"viewpoint48";"viewpoint48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\viewpoint48.png";"icons-study/07-icones-sources/sysml1/viewpoint48.png"
